ID,Industry,Age,Sex,Are you a First Nation member?,Education,years,days,workhours,rechours,"Work (office) postal code? First three digits only: (if you are uncomfortable with, or do not know the postal code, please include the region instead)",OffSite,INSPQriskOFF,"Work (site - outdoors) postal code? First three digits only: (if you are uncomfortable with, or do not know the postal code, please include the region instead)",OnSite,INSPQriskON,RiskScore,RegionOFF
E1,Unknown,25-34 years,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,more than 7 hours,more than 7 hours,H2L,Montréal,2.5,Monteregie,Montérégie,2,12,Montérégie
E10,Forestry,25-34 years,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,0-3 hours,4-7 hours,Ange-Gardien (Outaouais),Ange-Gardien,2,Outaouais-Laurentides,Multiple,2,15,Multiple
E11,Maintenance,18-24 years,Female,No,High school diploma or equivalent (D.E.S.) ,0-3 years,4-5 days ,4-7 hours,more than 7 hours,J3G,Beloeil,1,J3G,Beloeil,1,8.5,Montérégie
E12,Maintenance,18-24 years,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,4-7 hours,4-7 hours,J3G,Beloeil,1,J3G,Beloeil,1,9,Montérégie
E13,Maintenance,18-24 years,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,4-7 hours,4-7 hours,Mont Saint Hilaire,Mont-Saint-Hilaire,3,Mont Saint Hilaire,Mont Saint Hilaire,3,8.5,Montérégie
E14,Environment,18-24 years,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,4-7 hours,4-7 hours,J8H,Lachute,2,Laurentians,Laurentides,1.5,10,Laurentides
E15,Forestry,35-44 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,4-7 hours,j1a,Coaticook,2,estrie,Estrie,2,13.5,Estrie
E16,Forestry,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",8+ years,4-5 days ,0-3 hours,4-7 hours,J0E1V0 ,Knowlton,3,J0E,Brome-Missisquoi,2,12,Estrie
E3,Recreation,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,1-3 days,0-3 hours,4-7 hours,Shefford,Shefford,3,Shefford,Shefford,3,7,Estrie
E4,Recreation,45-54 years,Female,No,postgraduate degree,4-7 years,1-3 days,0-3 hours,more than 7 hours,Estrie,Estrie,2,Estrie,Estrie,2,9,Estrie
E5,Environment,25-34 years,Female,No,postgraduate degree,4-7 years,6-7 days,4-7 hours,more than 7 hours,J0V,Argenteuil,2,J0V,Argenteuil,2,15,Laurentides
E6,Biology,35-44 years ,Male,No,postgraduate degree,8+ years,4-5 days ,0-3 hours,0-3 hours,J2G,Granby,3,Montérégie,Montérégie,2,7.5,Montérégie
E7,Recreation,45-54 years,Male,No,postgraduate degree,4-7 years,4-5 days ,more than 7 hours,0-3 hours,Eastern Townships ,Estrie ,2,Eastern Townships ,Estrie ,2,15.5,Estrie
E8,Biology,25-34 years,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years,4-5 days ,more than 7 hours,more than 7 hours,J8E,Mont-Tremblant,1,Mont-Tremblant,Mont-Tremblant,1,9.5,Laurentides
E9,Recreation,25-34 years,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,4-7 hours,4-7 hours,J1H,Sherbrooke,3,"All around Estrie, Qc, Canada",Estrie,2,7.5,Estrie
F10,Unknown,25-34 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,4-7 hours,4-7 hours,Gaspé,Gaspé,1,Percé,Percé,1,5,Gaspésie–Îles-de-la-Madeleine
F100,Forestry,18-24 years,Male,No,Certificate or diploma from a trade school (D.E.P.),4-7 years ,4-5 days ,more than 7 hours,4-7 hours,J6E,Joliette,2,,Joliette,2,8,Lanaudière
F101,Environment,25-34 years ,Female,No,postgraduate degree,0-3 years,4-5 days ,more than 7 hours,4-7 hours,Montréal,Montréal,2.5,"Richelieu-Yamaska, Haut-Saint-Laurent",Montérégie,3,14,Montérégie
F102,Environment,25-34 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,4-7 hours,4-7 hours,J6E,Joliette,2,Lanaudière,Lanaudière,1.5,10,Lanaudière
F103,Biology,35-44 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,more than 7 hours,J8E,Mont-Tremblant,1,Laurentides,Laurentides,1.5,8,Laurentides
F104,Environment,55+ years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,more than 7 hours,4-7 hours,j2k 3t5,Cowansville,3,montérégie,Montérégie,2,11,Montérégie
F105,Environment,35-44 years ,Female,No,postgraduate degree,8+ years,1-3 days,more than 7 hours,more than 7 hours,H2L,Montréal,2.5,Montérégie,Montérégie,2,13.5,Montérégie
F106,Biology,25-34 years ,Female,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,4-7 hours,more than 7 hours,G1H,Quebec City,2,Charlevoix - Portneuf - Chaudière-Appalaches,Multiple,2,14,Multiple
F107,Forestry,25-34 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",4-7 years ,1-3 days,4-7 hours,4-7 hours,G0P 1A0,Ham-Nord,1,,Ham-Nord,1,5,Mauricie et Centre-du-Québec
F108,Maintenance,45-54 years ,Male,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,0-3 hours,4-7 hours,J3y,Longueuil,3,J3y,Longueuil,3,10.5,Montérégie
F109,Environment,35-44 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",0-3 years,4-5 days ,4-7 hours,4-7 hours,J3G,Beloeil,1,,Beloeil,1,13,Montérégie
F11,Environment,55+ years ,Male,No,"University certificate, diploma or degree at the undergraduate level (bachelor's degree, etc.) ",0-3 years,4-5 days ,4-7 hours,0-3 hours,J0E 2K0,Sutton,3,J0E 2K0,Sutton,3,14,Estrie
F110,Environment,35-44 years ,Female,No,"Certificate or diploma from a college, CEGEP or other institution other than university (D.E.C.)",8+ years,4-5 days ,4-7 hours,4-7 hours,Trois-Rivières,Trois-Rivières,2,Mauricie et Centre-du-Québec,,2,11,Mauricie et Centre-du-Québec
